bilmerke;alder;Registrerte personbiler 2019;Registrerte varebiler 2019
De tomaso;Under 4 år;0;0
De tomaso;4 - 7 år;0;0
De tomaso;8 - 11 år;0;0
De tomaso;12 - 15 år;0;0
De tomaso;16 - 20 år;0;0
De tomaso;Over 20 år;2;0
Delorean;Under 4 år;0;0
Delorean;4 - 7 år;0;0
Delorean;8 - 11 år;0;0
Delorean;12 - 15 år;0;0
Delorean;16 - 20 år;0;0
Delorean;Over 20 år;10;0
Dethleffs;Under 4 år;0;0
Dethleffs;4 - 7 år;0;0
Dethleffs;8 - 11 år;1;2
Dethleffs;12 - 15 år;1;507
Dethleffs;16 - 20 år;0;461
Dethleffs;Over 20 år;0;38
Diamond;Under 4 år;0;0
Diamond;4 - 7 år;0;0
Diamond;8 - 11 år;0;0
Diamond;12 - 15 år;0;0
Diamond;16 - 20 år;0;0
Diamond;Over 20 år;0;4
Dkw;Under 4 år;0;0
Dkw;4 - 7 år;0;0
Dkw;8 - 11 år;0;0
Dkw;12 - 15 år;0;0
Dkw;16 - 20 år;0;0
Dkw;Over 20 år;124;0
Dodge;Under 4 år;1;80
Dodge;4 - 7 år;34;264
Dodge;8 - 11 år;326;116
Dodge;12 - 15 år;738;157
Dodge;16 - 20 år;309;125
Dodge;Over 20 år;1609;418
DS;Under 4 år;247;0
DS;4 - 7 år;125;0
DS;8 - 11 år;0;0
DS;12 - 15 år;0;0
DS;16 - 20 år;0;0
DS;Over 20 år;0;0
Ducati;Under 4 år;0;0
Ducati;4 - 7 år;0;0
Ducati;8 - 11 år;0;0
Ducati;12 - 15 år;0;0
Ducati;16 - 20 år;0;0
Ducati;Over 20 år;0;2
Duesenberg;Under 4 år;0;0
Duesenberg;4 - 7 år;0;0
Duesenberg;8 - 11 år;0;0
Duesenberg;12 - 15 år;0;0
Duesenberg;16 - 20 år;0;0
Duesenberg;Over 20 år;1;0
Dutton;Under 4 år;0;0
Dutton;4 - 7 år;1;0
Dutton;8 - 11 år;0;0
Dutton;12 - 15 år;0;0
Dutton;16 - 20 år;0;0
Dutton;Over 20 år;0;0
E Car;Under 4 år;0;0
E Car;4 - 7 år;0;0
E Car;8 - 11 år;0;0
E Car;12 - 15 år;0;0
E Car;16 - 20 år;0;0
E Car;Over 20 år;0;0
Eagle;Under 4 år;0;0
Eagle;4 - 7 år;0;0
Eagle;8 - 11 år;0;0
Eagle;12 - 15 år;0;0
Eagle;16 - 20 år;0;0
Eagle;Over 20 år;2;0
Ebro;Under 4 år;0;0
Ebro;4 - 7 år;0;0
Ebro;8 - 11 år;0;0
Ebro;12 - 15 år;0;0
Ebro;16 - 20 år;0;0
Ebro;Over 20 år;0;0
Edsel;Under 4 år;0;0
Edsel;4 - 7 år;0;0
Edsel;8 - 11 år;0;0
Edsel;12 - 15 år;0;0
Edsel;16 - 20 år;0;0
Edsel;Over 20 år;3;0
Elnagh;Under 4 år;0;0
Elnagh;4 - 7 år;0;0
Elnagh;8 - 11 år;0;0
Elnagh;12 - 15 år;0;27
Elnagh;16 - 20 år;0;22
Elnagh;Over 20 år;0;0
Emw;Under 4 år;0;0
Emw;4 - 7 år;0;0
Emw;8 - 11 år;0;0
Emw;12 - 15 år;0;0
Emw;16 - 20 år;0;0
Emw;Over 20 år;9;0
Equi-Trek;Under 4 år;0;7
Equi-Trek;4 - 7 år;0;26
Equi-Trek;8 - 11 år;0;1
Equi-Trek;12 - 15 år;0;0
Equi-Trek;16 - 20 år;0;0
Equi-Trek;Over 20 år;0;0
Erde;Under 4 år;0;0
Erde;4 - 7 år;0;0
Erde;8 - 11 år;0;0
Erde;12 - 15 år;0;0
Erde;16 - 20 år;0;0
Erde;Over 20 år;0;0
Eriba;Under 4 år;0;0
Eriba;4 - 7 år;0;0
Eriba;8 - 11 år;0;0
Eriba;12 - 15 år;0;0
Eriba;16 - 20 år;0;0
Eriba;Over 20 år;0;0
Erskine;Under 4 år;0;0
Erskine;4 - 7 år;0;0
Erskine;8 - 11 år;0;0
Erskine;12 - 15 år;0;0
Erskine;16 - 20 år;0;0
Erskine;Over 20 år;1;0
Esterel;Under 4 år;0;0
Esterel;4 - 7 år;0;0
Esterel;8 - 11 år;0;0
Esterel;12 - 15 år;0;1
Esterel;16 - 20 år;0;0
Esterel;Over 20 år;0;0
Eura Caravan;Under 4 år;0;0
Eura Caravan;4 - 7 år;0;0
Eura Caravan;8 - 11 år;0;0
Eura Caravan;12 - 15 år;0;1
Eura Caravan;16 - 20 år;0;1
Eura Caravan;Over 20 år;1;1
Eura Mobil;Under 4 år;0;0
Eura Mobil;4 - 7 år;0;0
Eura Mobil;8 - 11 år;0;0
Eura Mobil;12 - 15 år;0;47
Eura Mobil;16 - 20 år;0;1
Eura Mobil;Over 20 år;0;0
Excalibur;Under 4 år;0;0
Excalibur;4 - 7 år;0;0
Excalibur;8 - 11 år;0;0
Excalibur;12 - 15 år;0;0
Excalibur;16 - 20 år;0;0
Excalibur;Over 20 år;5;0
Factory Five;Under 4 år;0;0
Factory Five;4 - 7 år;0;0
Factory Five;8 - 11 år;0;0
Factory Five;12 - 15 år;0;0
Factory Five;16 - 20 år;0;0
Factory Five;Over 20 år;1;0
Fargo;Under 4 år;0;0
Fargo;4 - 7 år;0;0
Fargo;8 - 11 år;0;0
Fargo;12 - 15 år;0;0
Fargo;16 - 20 år;0;0
Fargo;Over 20 år;0;9
Federal;Under 4 år;0;0
Federal;4 - 7 år;0;0
Federal;8 - 11 år;0;0
Federal;12 - 15 år;0;0
Federal;16 - 20 år;0;0
Federal;Over 20 år;0;1
Fendt;Under 4 år;0;0
Fendt;4 - 7 år;0;0
Fendt;8 - 11 år;0;0
